kw,page,pages_num,clicks_cur,imp_cur,pos_cur,cpc,vol,clicks_prev,imp_prev,pos_prev,opportunity_score,value,potential_traffic_cur,potential_traffic_prev,potential_traffic_value_cur,potential_traffic_value_prev,traffic_value,avg_pos_cur,position_delta,impressions_delta,clicks_delta,is_watchlisted,last_seen_at
spatial awareness,,0,0,0,0,0,0,0,1,11,0,0,0,1,0,0,0,0,11,-1,0,FALSE,2025-09-26
daycares in marietta,https://chromaela.com/,3,0,3,58,0,0,0,0,0,7.27,0,3,0,0,0,0,20,-58,3,0,FALSE,2025-11-11
daycares in rome ga,https://chromaela.com/,2,0,3,57,4,590,0,2,47,43.96,0,3,2,12,8,2360,62,-10,1,0,FALSE,2025-11-14
grow and glow daycare,https://www.chromaela.com/home-690714,1,0,1,6,2.1,40,0,0,0,20.98,0,1,0,2,0,85,6,-6,1,0,FALSE,2025-11-14
academy mcdonough ga,https://chromaela.com/service-areas-mcdonough-ga,1,0,1,40,0.1,390,0,0,0,18.55,0,1,0,0,0,51,40,-40,1,0,FALSE,2025-10-30
11875 jones bridge rd,https://chromaela.com/service-areas-johns-creek-ga,1,0,1,74,0,40,0,0,0,0,0,1,0,0,0,0,74,-74,1,0,FALSE,2025-11-08
new preschool near me,,0,0,0,0,3,260,0,1,1,0,0,0,1,0,3,785,0,1,-1,0,FALSE,2025-10-06
park for 1 year old,,0,0,0,0,0,0,0,1,13,0,0,0,1,0,0,0,0,13,-1,0,FALSE,2025-09-27
daycares in jonesboro ga,https://chromaela.com/service-areas-jonesboro-ga,2,0,30,9,4.8,390,0,5,9,58.55,0,30,5,145,24,1884,13.23,0,25,0,FALSE,2025-11-22
daycare near me now,https://chromaela.com/service-areas-satellite-ga,1,0,1,12,6.2,1900,0,0,0,44.29,0,1,0,6,0,11780,12,-12,1,0,FALSE,2025-11-12
wyndham farms day cares,https://chromaela.com/service-areas-midway-alpharetta-ga,11,0,49,2,0,0,0,5,6,25.74,0,49,5,0,0,0,9.52,4,44,0,FALSE,2025-11-20
lawrenceville campus,,0,0,0,0,0,140,0,2,69,0,0,0,2,0,0,0,0,69,-2,0,FALSE,2025-10-16
daycare gwinnett county,https://chromaela.com/service-areas-lawrenceville-ga,2,0,2,72,6.7,110,0,5,17,35.79,0,2,5,13,34,738,50,-55,-3,0,FALSE,2025-11-22
safe and sound daycare,,0,0,0,0,5.5,320,0,2,1,0,0,0,2,0,11,1760,0,1,-2,0,FALSE,2025-10-09
toddler activites,https://chromaela.com/post/top-5-family-friendly-activities-near-marietta-ga-for-your-toddler,1,0,1,11,0,0,0,0,0,0,0,1,0,0,0,0,11,-11,1,0,FALSE,2025-11-12
daycare in union city,https://chromaela.com/service-areas-tyrone-ga,1,0,2,85,4.5,480,0,0,0,40.89,0,2,0,9,0,2174,85,-85,2,0,FALSE,2025-11-19
pre k henry county ga,,0,0,0,0,4.7,170,0,1,8,0,0,0,1,0,5,791,0,8,-1,0,FALSE,2025-09-26
daycare in thomaston,,0,0,0,0,0,0,0,2,93,0,0,0,2,0,0,0,0,93,-2,0,FALSE,2025-09-27
daycare morrow ga,https://chromaela.com/,2,0,2,57,0,0,0,0,0,4.58,0,2,0,0,0,0,61,-57,2,0,FALSE,2025-11-01
children place near me,https://chromaela.com/tour-appointment,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,-2,1,0,FALSE,2025-11-22
drop in daycare near me,https://chromaela.com/service-areas-pleasanthill-ga,3,0,62,1,5.6,9900,1,51,1,79.09,0,62,50,345,279,55143,1.67,0,11,-1,FALSE,2025-11-23
daycare marietta ga,https://chromaela.com/service-areas-marietta-west-ga,1,0,3,5,10.7,880,0,4,5,52.4,0,3,4,32,43,9416,21,0,-1,0,FALSE,2025-11-19
jump start daycare,,0,0,0,0,6,480,0,1,1,0,0,0,1,0,6,2875,0,1,-1,0,FALSE,2025-10-21
park in ellenwood ga,https://chromaela.com/post/top-5-infant-friendly-parks-in-ellenwood-for-your-babys-first-outings,1,0,1,19,0,0,0,0,0,0,0,1,0,0,0,0,19,-19,1,0,FALSE,2025-11-21
roswell childcare,https://chromaela.com/service-areas-roswell-ga,2,0,5,9,0,0,0,14,15,10.65,0,5,14,0,0,0,21.62,6,-9,0,FALSE,2025-11-23
apple a day daycare,https://chromaela.com/service-areas-pleasanthill-ga,1,0,20,12,3.7,110,1,10,10,48.23,0,20,9,74,33,409,9.44,-2,10,-1,FALSE,2025-11-23
daycare mcdonough,https://chromaela.com/service-areas-mcdonough-ga,2,0,26,11,5.7,1000,0,7,18,62.67,0,26,7,148,40,5710,17.91,7,19,0,FALSE,2025-11-22
day care in atlanta,https://chromaela.com/,1,0,1,138,0,0,0,0,0,0,0,1,0,0,0,0,138,-138,1,0,FALSE,2025-11-10
playground marietta ga,https://chromaela.com/post/top-5-infant-friendly-parks-in-marietta-east-cobb-for-your-babys-first-outings,2,0,2,32,0,0,0,0,0,4.58,0,2,0,0,0,0,44.5,-32,2,0,FALSE,2025-11-21
sensorimotor example,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,1,80,0,0,0,0,0,0,0,1,0,0,0,0,80,-80,1,0,FALSE,2025-11-13
learning academy near me,https://chromaela.com/service-areas-southcobb-ga,4,0,8,1,7,720,0,1,2,54.04,0,8,1,56,7,5047,6.5,1,7,0,FALSE,2025-11-20
2 day preschool near me,https://chromaela.com/service-areas-rivergreen-ga,2,0,3,10,5.9,170,0,0,0,39.9,0,3,0,18,0,1000,11,-10,3,0,FALSE,2025-11-18
headstart school near me,,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,3,-1,0,FALSE,2025-10-20
preschool in mcdonough,https://chromaela.com/service-areas-mcdonough-ga,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-10-28
academy preschool,,0,0,0,0,5.2,480,0,2,8,0,0,0,2,0,10,2472,0,8,-2,0,FALSE,2025-10-15
green apple academy,https://chromaela.com/,1,0,1,9,0,390,0,0,0,0,0,1,0,0,0,0,9,-9,1,0,FALSE,2025-11-01
day cares near me,https://chromaela.com/service-areas-mcdonough-ga,3,0,9,1,7.9,1600,0,0,0,59.16,0,9,0,71,0,12640,13.67,-1,9,0,FALSE,2025-11-19
ymca jonesboro ga,https://chromaela.com/service-areas-jonesboro-ga,1,0,1,7,0,0,0,0,0,0,0,1,0,0,0,0,7,-7,1,0,FALSE,2025-11-21
3 year old pre k near me,https://chromaela.com/service-areas-ellenwood-ga,1,0,1,17,0,0,0,0,0,0,0,1,0,0,0,0,17,-17,1,0,FALSE,2025-11-12
daycares in mcdonough,https://chromaela.com/service-areas-mcdonough-ga,1,0,1,5,5.3,1000,0,7,9,40.52,0,1,7,5,37,5300,5,4,-6,0,FALSE,2025-10-29
babysitting near me,,0,0,0,0,1.6,5400,0,1,15,0,0,0,1,0,2,8910,0,15,-1,0,FALSE,2025-10-03
georgia preschools,https://chromaela.com/,1,0,1,24,7,210,0,0,0,34.45,0,1,0,7,0,1468,24,-24,1,0,FALSE,2025-11-16
baby store alpharetta,https://chromaela.com/post/5-amazing-baby-boutiques-in-johns-creek-to-try-today,1,0,1,50,0,0,0,0,0,0,0,1,0,0,0,0,50,-50,1,0,FALSE,2025-11-23
kids r first academy,,0,0,0,0,0,0,0,1,43,0,0,0,1,0,0,0,0,43,-1,0,FALSE,2025-10-03
sensorimotor thought,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,4,1,0,90,0,1,56,9.17,0,4,1,0,0,0,28.5,55,3,0,FALSE,2025-11-21
daycares locust grove ga,https://chromaela.com/service-areas-mcdonough-ga,1,0,2,7,6.6,70,0,1,9,33.54,0,2,1,13,7,459,8,2,1,0,FALSE,2025-10-30
daycare jasper ga,https://chromaela.com/service-areas-cherokee-ga,1,0,1,6,3.6,40,0,0,0,23.46,0,1,0,4,0,143,6,-6,1,0,FALSE,2025-11-12
early head start near me,,0,0,0,0,4.5,2400,0,1,7,0,0,0,1,0,5,10896,0,7,-1,0,FALSE,2025-10-07
chrome learning center,https://chromaela.com/,14,1,58,6,0,20,0,10,6,26.86,0,57,10,0,0,0,6.06,0,48,1,FALSE,2025-11-23
pre k schools near me,https://chromaela.com/service-areas-mcdonough-ga,1,0,2,12,7.4,18100,0,0,0,60.35,0,2,0,15,0,133578,12,-12,2,0,FALSE,2025-11-20
spectrum preschool,https://chromaela.com/,1,0,2,7,0,110,0,0,0,4.58,0,2,0,0,0,0,7,-7,2,0,FALSE,2025-11-03
daycares in the area,https://chromaela.com/service-areas-mcdonough-ga,1,0,1,9,5,390,0,0,0,35.78,0,1,0,5,0,1946,9,-9,1,0,FALSE,2025-10-29
daycare jonesboro,https://chromaela.com/service-areas-jonesboro-ga,1,0,1,6,6.3,1000,0,5,6,41.3,0,1,5,6,31,6260,6,0,-4,0,FALSE,2025-11-03
teaching kids body parts,https://chromaela.com/post/learning-the-different-body-parts-fun-ways-to-teach-young-children,1,0,1,85,0,0,0,0,0,0,0,1,0,0,0,0,85,-85,1,0,FALSE,2025-11-18
toddler tech academy,https://chromaela.com/service-areas-tyrone-ga,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-10-31
caps daycare near me,https://chromaela.com/,5,0,12,6,8.6,110,0,2,9,48.79,0,12,2,103,17,942,10.58,3,10,0,FALSE,2025-11-17
top daycares in my area,,0,0,0,0,9.1,40,0,1,6,0,0,0,1,0,9,363,0,6,-1,0,FALSE,2025-10-16
preschool austell,https://chromaela.com/service-areas-southcobb-ga,1,0,1,1,0,20,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-10-31
daycare alpharetta ga,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,2,61,7.3,1000,0,1,19,46.59,0,2,1,15,7,7260,61,-42,1,0,FALSE,2025-11-20
legacy academy satellite,https://chromaela.com/service-areas-satellite-ga,1,0,1,88,0,70,0,1,70,0,0,1,1,0,0,0,88,-18,0,0,FALSE,2025-11-21
how to be a better kid,https://chromaela.com/post/teaching-kids-how-to-blow-their-nose-building-healthy-habits-with-chroma,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-10-31
daycares in roswell,https://chromaela.com/service-areas-roswell-ga,2,0,6,13,6.1,480,0,6,38,49.58,0,6,6,37,37,2938,33.12,25,0,0,FALSE,2025-11-02
microschool near me,https://chromaela.com/service-areas-marietta-west-ga,1,0,3,4,3.7,880,0,1,9,45.43,0,3,1,11,4,3221,3.67,5,2,0,FALSE,2025-11-19
types of daycares,https://chromaela.com/post/types-of-daycare-centers-which-is-right-for-your-family,1,0,1,1,7.9,320,0,0,0,37.03,0,1,0,8,0,2534,1,-1,1,0,FALSE,2025-11-21
fattest kid in the world,https://chromaela.com/post/learning-the-different-body-parts-fun-ways-to-teach-young-children,1,0,2,1,0,0,0,0,0,4.58,0,2,0,0,0,0,1,-1,2,0,FALSE,2025-11-19
childhood academy,https://chromaela.com/service-areas-pleasanthill-ga,1,0,1,1,4.7,260,0,0,0,33.6,0,1,0,5,0,1225,1,-1,1,0,FALSE,2025-11-03
locust grove daycare,https://chromaela.com/service-areas-mcdonough-ga,1,0,2,17,7.2,90,0,0,0,35.15,0,2,0,14,0,645,17,-17,2,0,FALSE,2025-11-18
how to teach body parts,https://chromaela.com/post/learning-the-different-body-parts-fun-ways-to-teach-young-children,1,0,1,3,0,70,0,0,0,0,0,1,0,0,0,0,3,-3,1,0,FALSE,2025-11-11
daycare jobs near me,,0,0,0,0,1.5,74000,0,1,3,0,0,0,1,0,2,111000,0,3,-1,0,FALSE,2025-10-04
preschool in johns creek,,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,1,-2,0,FALSE,2025-10-25
daycare lilburn ga,https://chromaela.com/,5,2,29,12,0,0,0,27,3,19,0,27,27,0,0,0,19.37,-9,2,2,FALSE,2025-11-23
childcare alpharetta ga,,0,0,0,0,7.3,1000,0,2,48,0,0,0,2,0,15,7260,0,48,-2,0,FALSE,2025-10-16
daycares in hampton ga,,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,-1,0,FALSE,2025-10-21
stages of walking,https://chromaela.com/post/from-wobbles-to-first-steps-how-babies-learn-to-walk,1,0,1,61,1.1,480,0,0,0,29.71,0,1,0,1,0,538,61,-61,1,0,FALSE,2025-11-21
stem daycare near me,https://chromaela.com/,1,0,2,6,6.2,320,0,0,0,40.48,0,2,0,12,0,1994,6,-6,2,0,FALSE,2025-11-18
daycares roswell ga,,0,0,0,0,6.1,480,0,1,58,0,0,0,1,0,6,2938,0,58,-1,0,FALSE,2025-09-29
midway learning center,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,1,40,0,170,0,0,0,0,0,1,0,0,0,0,40,-40,1,0,FALSE,2025-11-01
childcare loganville,,0,0,0,0,0,10,0,1,98,0,0,0,1,0,0,0,0,98,-1,0,FALSE,2025-10-20
academy daycare near me,https://chromaela.com/,8,0,9,7,4.7,720,0,0,0,52.95,0,9,0,42,0,3398,11.44,-7,9,0,FALSE,2025-11-13
discovery point midway,https://chromaela.com/,2,0,5,19,3,590,0,8,10,45.92,0,5,8,15,24,1746,11.25,-9,-3,0,FALSE,2025-11-20
kids tech academy,https://chromaela.com/service-areas-tyrone-ga,1,5,46,8,0,0,6,54,1,18.27,0,41,48,0,0,0,5.2,-7,-8,-1,FALSE,2025-11-23
day care johns creek ga,https://chromaela.com/service-areas-johns-creek-ga,1,0,1,14,9.8,210,0,3,20,36.07,0,1,3,10,30,2066,14,6,-2,0,FALSE,2025-11-01
marietta playground,https://chromaela.com/post/top-5-infant-friendly-parks-in-marietta-east-cobb-for-your-babys-first-outings,1,0,1,33,0,0,0,0,0,0,0,1,0,0,0,0,33,-33,1,0,FALSE,2025-11-01
infant care in duluth,https://chromaela.com/service-areas-pleasanthill-ga,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-10-28
daycare on panola rd,https://chromaela.com/service-areas-ellenwood-ga,1,0,1,25,6.1,30,0,0,0,24.61,0,1,0,6,0,183,25,-25,1,0,FALSE,2025-11-23
jonesboro daycare,https://chromaela.com/service-areas-jonesboro-ga,1,0,12,47,4.8,1000,0,0,0,56.47,0,12,0,57,0,4780,37.06,-47,12,0,FALSE,2025-11-23
preschool roswell,https://chromaela.com/,2,0,2,2,6.5,260,0,4,33,39.72,0,2,4,13,26,1695,13,31,-2,0,FALSE,2025-11-22
night day care near me,https://chromaela.com/service-areas-satellite-ga,2,0,2,6,2.3,1600,0,0,0,43.42,0,2,0,5,0,3712,7,-6,2,0,FALSE,2025-11-10
academy schools near me,https://chromaela.com/service-areas-cherokee-ga,1,0,1,4,6.1,1600,0,3,57,43.38,0,1,3,6,18,9712,4,53,-2,0,FALSE,2025-11-20
daycares in canton,,0,0,0,0,0,0,0,2,10,0,0,0,2,0,0,0,0,10,-2,0,FALSE,2025-10-23
daycares with cameras,https://chromaela.com/,1,0,2,9,4.7,1300,0,0,0,45.73,0,2,0,9,0,6058,9,-9,2,0,FALSE,2025-11-20
child care in duluth,https://chromaela.com/service-areas-pleasanthill-ga,1,0,3,1,0,0,0,0,0,7.27,0,3,0,0,0,0,1,-1,3,0,FALSE,2025-11-18
play-based preschool,https://chromaela.com/service-areas-tyrone-ga,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,-2,1,0,FALSE,2025-11-10
little creations daycare,https://chromaela.com/service-areas-jonesboro-ga,1,0,3,4,0,110,0,1,3,7.27,0,3,1,0,0,0,3.67,-1,2,0,FALSE,2025-11-03
colormind academy,,0,0,0,0,0,20,0,1,5,0,0,0,1,0,0,0,0,5,-1,0,FALSE,2025-10-06
daycare in my area,https://chromaela.com/service-areas-jonesboro-ga,1,0,1,7,4.9,590,0,3,7,37.62,0,1,3,5,15,2873,7,0,-2,0,FALSE,2025-11-15
sensorimotor stage age,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,3,90,0,260,0,0,0,7.27,0,3,0,0,0,0,82,-90,3,0,FALSE,2025-11-18
discovery point canton,https://chromaela.com/team,1,0,2,28,5.1,70,0,1,50,32.37,0,2,1,10,5,358,28,22,1,0,FALSE,2025-11-22
daycare watkinsville ga,https://chromaela.com/,1,0,2,61,6,110,0,0,0,35.24,0,2,0,12,0,658,67.5,-61,2,0,FALSE,2025-11-01
daycares in griffin ga,https://chromaela.com/service-areas-mcdonough-ga,1,0,1,37,5,480,0,0,0,36.79,0,1,0,5,0,2410,37,-37,1,0,FALSE,2025-10-28
southwood daycare,https://chromaela.com/service-areas-ellenwood-ga,1,0,1,81,4.2,110,0,5,79,29,0,1,5,4,21,463,81,-2,-4,0,FALSE,2025-11-14
preschool academy,,0,0,0,0,4.5,1600,0,1,12,0,0,0,1,0,5,7232,0,12,-1,0,FALSE,2025-10-06
preschools in marietta,,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,1,-2,0,FALSE,2025-10-15
daycare after school,https://chromaela.com/service-areas-jonesboro-ga,1,0,1,13,0,0,0,0,0,0,0,1,0,0,0,0,13,-13,1,0,FALSE,2025-10-29
kids daycare near me,,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,5,-1,0,FALSE,2025-10-19
daycare ellenwood ga,https://chromaela.com/service-areas-ellenwood-ga,10,1,58,5,0,0,0,83,6,27.08,0,57,83,0,0,0,9.24,1,-25,1,FALSE,2025-11-23
childcare in alpharetta,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,2,25,7.8,10,0,0,0,25.15,0,2,0,16,0,78,25,-25,2,0,FALSE,2025-11-19
kids technical college,,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,2,-1,0,FALSE,2025-10-06
daycare near me near me,,0,0,0,0,4.4,4400,0,1,13,0,0,0,1,0,4,19580,0,13,-1,0,FALSE,2025-10-16
eplex johns creek,,0,0,0,0,18.5,70,0,1,50,0,0,0,1,0,18,1294,0,50,-1,0,FALSE,2025-10-15
parks for infants,https://chromaela.com/post/top-5-infant-friendly-parks-in-lilburn-for-your-babys-first-outings,1,0,4,7,0.5,2900,0,4,10,44.65,0,4,4,2,2,1334,8.5,3,0,0,FALSE,2025-11-07
preschool johns creek,https://chromaela.com/service-areas-johns-creek-ga,1,0,2,16,7.1,70,0,2,1,36.57,0,2,2,14,14,494,8.5,-15,0,0,FALSE,2025-11-09
childcare in jonesboro,https://chromaela.com/service-areas-jonesboro-ga,1,0,8,28,0,0,0,21,13,14.53,0,8,21,0,0,0,37.6,-15,-13,0,FALSE,2025-11-23
town center daycare,,0,0,0,0,4.5,30,0,1,1,0,0,0,1,0,4,135,0,1,-1,0,FALSE,2025-10-07
east cobb preschool,,0,0,0,0,11.8,70,0,1,97,0,0,0,1,0,12,822,0,97,-1,0,FALSE,2025-10-12
charter schools near me,https://chromaela.com/service-areas-marietta-west-ga,1,0,1,18,5.7,110000,0,0,0,63.08,0,1,0,6,0,628100,18,-18,1,0,FALSE,2025-11-05
early childhood center,https://chromaela.com/service-areas-mcdonough-ga,1,0,2,9,5.2,9900,0,0,0,55.85,0,2,0,10,0,51579,9,-9,2,0,FALSE,2025-11-17
schools in ellenwood ga,https://chromaela.com/service-areas-ellenwood-ga,1,0,4,58,0,90,0,0,0,9.17,0,4,0,0,0,0,58.5,-58,4,0,FALSE,2025-11-20
infant daycare near me,https://chromaela.com/service-areas-mcdonough-ga,1,0,7,10,7.2,33100,0,1,19,71.38,0,7,1,51,7,238982,10,9,6,0,FALSE,2025-11-07
preschool in marietta,,0,0,0,0,9.2,260,0,3,98,0,0,0,3,0,28,2389,0,98,-3,0,FALSE,2025-10-15
premier learning academy,https://chromaela.com/service-areas-southcobb-ga,3,0,24,1,4.2,1000,2,14,1,60.46,0,24,12,101,51,4220,1,0,10,-2,FALSE,2025-11-23
infant marietta ga,,0,0,0,0,0,0,0,3,75,7.27,0,0,3,0,0,0,0,75,-3,0,FALSE,2025-10-25
playschool near me,https://chromaela.com/service-areas-tyrone-ga,1,0,1,19,0.8,201000,0,0,0,56.46,0,1,0,1,0,154770,19,-19,1,0,FALSE,2025-11-06
educational childcare,https://chromaela.com/service-areas-jonesboro-ga,1,0,1,17,4,880,0,0,0,38.6,0,1,0,4,0,3529,17,-17,1,0,FALSE,2025-11-03
downtown preschool,,0,0,0,0,6.6,210,0,1,3,34.21,0,0,1,0,7,1394,0,3,-1,0,FALSE,2025-10-25
daycare in canton,https://chromaela.com/service-areas-rivergreen-ga,1,0,1,1,0,0,0,10,1,4.58,0,1,10,0,0,0,1,0,-9,0,FALSE,2025-11-15
top toys for 4 year olds,https://chromaela.com/post/top-10-educational-toys-for-toddlers-that-promote-learning-and-fun,1,0,16,1,0,0,0,0,0,0,0,16,0,0,0,0,1,-1,16,0,FALSE,2025-11-21
childcare centers,https://chromaela.com/service-areas-rivergreen-ga,1,0,1,6,6,1600,0,0,0,43.33,0,1,0,6,0,9616,6,-6,1,0,FALSE,2025-11-21
preschools in roswell ga,https://chromaela.com/service-areas-roswell-ga,1,0,1,43,0,0,0,1,44,0,0,1,1,0,0,0,43,1,0,0,FALSE,2025-11-09
early learners academy,,0,0,0,0,5.2,4400,0,1,11,0,0,0,1,0,5,22748,0,11,-1,0,FALSE,2025-09-25
day care cerca de mi,https://www.chromaela.com/service-areas-lawrenceville-ga,3,0,3,5,2.8,33100,0,0,0,61.29,0,3,0,8,0,92349,7,-5,3,0,FALSE,2025-11-03
nearby daycare centers,,0,0,0,0,2.6,720,0,2,6,0,0,0,2,0,5,1858,0,6,-2,0,FALSE,2025-10-08
k3 programs near me,https://www.chromaela.com/service-areas-lawrenceville-ga,1,0,1,20,7.6,320,0,0,0,36.82,0,1,0,8,0,2426,20,-20,1,0,FALSE,2025-10-31
nearest daycare near me,https://chromaela.com/,1,0,4,94,3.2,390,0,0,0,42.78,0,4,0,13,0,1229,92,-94,4,0,FALSE,2025-11-19
montessori school,https://chromaela.com/service-areas-jonesboro-ga,4,0,14,16,4.1,301000,0,0,0,83.76,0,14,0,58,0,1243130,10.29,-16,14,0,FALSE,2025-11-22
daycare on ridge road,https://chromaela.com/service-areas-cherokee-ga,1,0,1,4,4.3,50,0,0,0,25.35,0,1,0,4,0,214,4,-4,1,0,FALSE,2025-11-10
daycare space for lease,,0,0,0,0,1.7,320,0,1,12,29.87,0,0,1,0,2,557,0,12,-1,0,FALSE,2025-10-26
austell ga to duluth ga,https://chromaela.com/service-areas-southcobb-ga,1,0,3,10,0,40,0,1,9,7.27,0,3,1,0,0,0,9.67,-1,2,0,FALSE,2025-11-07
daycares in antioch,,0,0,0,0,7.2,260,0,1,86,0,0,0,1,0,7,1882,0,86,-1,0,FALSE,2025-10-02
laura newman husband,https://www.chromaela.com/about-us,1,0,1,50,0,20,0,0,0,0,0,1,0,0,0,0,50,-50,1,0,FALSE,2025-10-31
daycares duluth ga,https://chromaela.com/service-areas-pleasanthill-ga,2,0,9,3,0,0,0,12,4,14.53,0,9,12,0,0,0,10.86,1,-3,0,FALSE,2025-11-18
mcdonough daycare,https://chromaela.com/service-areas-mcdonough-ga,1,1,23,12,0,0,0,3,2,20.74,0,22,3,0,0,0,8.33,-10,20,1,FALSE,2025-11-19
daycares near 30097,,0,0,0,0,0,20,0,5,2,0,0,0,5,0,0,0,0,2,-5,0,FALSE,2025-10-17
child care roswell ga,https://chromaela.com/service-areas-roswell-ga,2,0,3,20,0,0,0,3,20,7.27,0,3,3,0,0,0,27.33,0,0,0,FALSE,2025-11-19
daycare in mcdonough ga,https://chromaela.com/service-areas-mcdonough-ga,1,1,36,10,0,0,1,24,6,23.7,0,35,23,0,0,0,10.4,-4,12,0,FALSE,2025-11-19
kindercare mcdonough ga,https://chromaela.com/service-areas-mcdonough-ga,1,0,1,48,2.4,70,0,0,0,24.13,0,1,0,2,0,165,48,-48,1,0,FALSE,2025-11-06
georgia pre-k lottery,https://chromaela.com/services-pre-k-lottery,1,0,1,68,0,0,0,3,51,0,0,1,3,0,0,0,68,-17,-2,0,FALSE,2025-11-09
mcdonough ga schools,,0,0,0,0,0,0,0,1,92,0,0,0,1,0,0,0,0,92,-1,0,FALSE,2025-10-06
alpharetta daycare,,0,0,0,0,0,0,0,1,43,0,0,0,1,0,0,0,0,43,-1,0,FALSE,2025-10-25
pre-k school near me,,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,5,-1,0,FALSE,2025-10-06
preschool apple tree,,0,0,0,0,2.9,3600,0,1,7,0,0,0,1,0,3,10368,0,7,-1,0,FALSE,2025-10-18
daycare in marietta ga,https://chromaela.com/service-areas-marietta-west-ga,2,0,3,31,0,0,0,3,42,7.27,0,3,3,0,0,0,18.67,11,0,0,FALSE,2025-11-08
childcare lawrenceville,https://chromaela.com/service-areas-lawrenceville-ga,1,0,1,7,8.9,880,0,0,0,42.35,0,1,0,9,0,7814,7,-7,1,0,FALSE,2025-11-21
wyndham farms preschool,https://chromaela.com/service-areas-johns-creek-ga,14,0,55,2,0,10,0,48,8,26.51,0,55,48,0,0,0,7.11,6,7,0,FALSE,2025-11-20
childcare marietta,https://chromaela.com/,1,0,1,37,9.8,880,0,4,78,42.84,0,1,4,10,39,8659,37,41,-3,0,FALSE,2025-11-02
day care alpharetta ga,,0,0,0,0,7.3,1000,0,2,41,46.59,0,0,2,0,15,7260,0,41,-2,0,FALSE,2025-10-25
daycare fayetteville ga,https://chromaela.com/service-areas-tyrone-ga,1,0,4,13,6.6,590,0,2,23,48.24,0,4,2,26,13,3900,15,10,2,0,FALSE,2025-11-17
day care mcdonough ga,https://chromaela.com/,2,0,18,19,5.3,1000,0,6,11,59.64,0,18,6,95,32,5300,24.04,-8,12,0,FALSE,2025-11-22
parks in lilburn ga,https://chromaela.com/post/top-5-infant-friendly-parks-in-lilburn-for-your-babys-first-outings,1,0,3,21,0,880,0,2,21,7.27,0,3,2,0,0,0,19.33,0,1,0,FALSE,2025-11-20
phase center alpharetta,,0,0,0,0,2.7,50,0,6,80,0,0,0,6,0,16,133,0,80,-6,0,FALSE,2025-10-03
baby schools near me,https://chromaela.com/lilburn,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,8,-8,1,0,FALSE,2025-11-09
kids academy games,https://chromaela.com/service-areas-tyrone-ga,1,0,1,11,0,0,0,0,0,0,0,1,0,0,0,0,11,-11,1,0,FALSE,2025-11-02
pre primary montessori,,0,0,0,0,3.2,110,0,1,8,0,0,0,1,0,3,353,0,8,-1,0,FALSE,2025-10-17
sensorimotor stage,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,23,51,2,18100,0,4,58,70.62,0,23,4,46,8,36200,65.1,7,19,0,FALSE,2025-11-21
corporate daycares,https://chromaela.com/service-areas-southcobb-ga,1,0,1,27,7.3,50,0,1,2,27.91,0,1,1,7,7,367,27,-25,0,0,FALSE,2025-11-07
daycare center near me,https://chromaela.com/services-infant-care,8,0,15,98,4.4,27100,1,3,4,73.11,0,15,2,66,9,118427,43,-94,12,-1,FALSE,2025-11-04
after school near me,https://chromaela.com/service-areas-tyrone-ga,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,-2,1,0,FALSE,2025-11-12
daycare tuition,,0,0,0,0,2.9,1300,0,1,8,0,0,0,1,0,3,3822,0,8,-1,0,FALSE,2025-10-03
kidcumbacc,,0,0,0,0,0,110,0,1,1,0,0,0,1,0,0,0,0,1,-1,0,FALSE,2025-10-10
after school,https://chromaela.com/service-areas-mcdonough-ga,2,0,2,1,0,0,0,3,1,4.58,0,2,3,0,0,0,1.5,0,-1,0,FALSE,2025-11-17
